CASE,DATE,YEAR,DECADE,EFFECT,STAT NAME,PL #,S-DATE,TIME TO DECISION,CONGRESS,AREA1,LNDMRK,LNDDTL,ATT GEN,CERT,REVERSD,CRS,GVT PRTY,DISSENT,H-CT
United States v. Ward,6/27/80,1980,1980,upheld,Water Pollution Control Act,80-845,6/30/48,384,80,Due Process,0.0,0.0,1,1,1.0,0.0,1,1,0
Harris v. McRae,6/30/80,1980,1980,upheld,"Departments of Labor and Health, Education, and Welfare Appropriate Act of 1977",94-439,9/30/76,45,94,Substantive Rights,0.0,0.0,1,1,0.0,0.0,1,4,1
United States v. Sioux Nation of Indians,6/30/80,1980,1980,upheld,Indian Claims Commission Act Amendment,95-243,3/13/78,27,95,Separation of Powers,0.0,0.0,1,0,1.0,0.0,1,1,1
Fullilove v. Klutznick,7/2/80,1980,1980,upheld,Public Works Employment Act of 1977,95-28,5/13/77,38,95,Equality,0.0,0.0,1,1,0.0,0.0,1,3,1
"Industrial Union Department, AFL-CIO v. American Petroleum Institute",7/2/80,1980,1980,struck down as applied,Occupational Safety and Health Act of 1970,91-596,12/29/70,115,91,Separation of Powers,1.0,1.0,1,1,0.0,0.0,0,4,1
United States v. Difrancesco,12/9/80,1980,1980,upheld,Organized Crime Control Act of 1970,91-452,10/15/70,122,91,Due Process,1.0,0.0,1,0,1.0,0.0,1,4,1
United States Railroad Retirement Board v. Fritz,12/9/80,1980,1980,upheld,Railroad Retirement Act of 1937,93-445,10/16/74,74,93,Economic,0.0,0.0,1,1,1.0,0.0,1,2,1
United States v. Will,12/15/80,1980,1980,struck down on face,"Treasury, Postal Service, and General Government Appropriations Act of 1980",96-74,10/12/79,14,96,Separation of Powers,0.0,0.0,1,0,1.0,1.0,1,0,1
United States v. Darusmont,1/12/81,1981,1980,upheld,Tax Reform Act of 1976,94-455,10/4/76,51,94,Due Process,1.0,1.0,0,0,1.0,0.0,1,0,1
Schweiker v. Wilson,3/4/81,1981,1980,upheld,Social Security Amendments of 1972,92-603,10/30/72,101,92,Equality,0.0,0.0,1,0,1.0,0.0,1,4,1
Albernaz v. United States,3/9/81,1981,1980,upheld,Comprehensive Drug Abuse Prevention and Control Act of 1970,91-513,10/27/70,125,91,Due Process,1.0,0.0,1,1,0.0,0.0,1,0,1
Hodel v. Virginia Surface Mining and Reclamation Association,6/15/81,1981,1980,upheld,Surface Mining Control and Reclamation Act of 1977,95-87,8/3/77,46,95,Federalism,1.0,1.0,1,0,1.0,0.0,1,0,1
Hodel v. Indiana,6/15/81,1981,1980,upheld,Surface Mining Control and Reclamation Act of 1977,95-87,8/3/77,46,95,Federalism,1.0,1.0,1,0,1.0,0.0,1,0,1
Donovan v. Dewey,6/17/81,1981,1980,upheld,Federal Mine Safety and Health Amendments Act of 1977,95-164,11/9/77,43,95,Due Process,0.0,0.0,1,0,1.0,0.0,1,1,1
United States Postal Service v. Council of Greenburgh Civic Associations,6/25/81,1981,1980,upheld,Crimes and Criminal Procedure Act,80-772,6/25/48,396,80,Substantive Rights,0.0,0.0,1,0,1.0,0.0,1,2,0
California Medical Association v. Federal Election Commission,6/26/81,1981,1980,upheld,Federal Election Campaign Act of 1971,92-225,2/7/72,112,92,Substantive Rights,1.0,0.0,0,0,0.0,0.0,1,4,1
Haig v. Agee,6/29/81,1981,1980,upheld,Walsh Act,69-493,7/3/26,659,69,Substantive Rights,0.0,0.0,1,1,1.0,0.0,1,2,0
CBS v. Federal Communications Commission,7/1/81,1981,1980,upheld,Federal Election Campaign Act of 1971,92-225,2/7/72,101,92,Substantive Rights,1.0,0.0,1,1,0.0,0.0,1,3,1
Rostker v. Goldberg,6/25/81,1981,1980,upheld,Selective Services Act of 1948,80-759,6/24/48,396,80,Equality,0.0,0.0,1,0,1.0,0.0,1,3,0
Dames & Moore v. Regan,7/2/81,1981,1980,upheld,International Emergency Economic Powers Act,95-223,12/28/77,43,95,Economic,0.0,0.0,1,1,0.0,0.0,1,1,1
United States v. Lee,2/23/82,1982,1980,upheld,Social Security Act Amendments of 1939,76-379,8/10/39,510,76,Substantive Rights,1.0,0.0,1,0,1.0,0.0,1,0,1
Railway Labor Executives' Association v. Gibbons,3/2/82,1982,1980,struck down on face,Staggers Rail Act of 1980,96-448,10/14/80,17,96,Economic,1.0,0.0,1,0,0.0,1.0,0,0,1
United Transportatoin Union v. Long Island Railroad,3/24/82,1982,1980,upheld,Railway Labor Act,69-257,5/20/26,682,69,Federalism,1.0,1.0,1,1,1.0,0.0,0,0,0
Schweiker v. McClure,3/1/82,1982,1980,upheld,Social Security Amendments of 1965,89-97,7/30/65,200,89,Due Process,1.0,0.0,1,0,1.0,0.0,1,0,1
International Longshoremen's Association v. Allied International,4/20/82,1982,1980,upheld,Taft-Hartley Act,80-101,6/23/47,430,80,Substantive Rights,1.0,1.0,1,1,0.0,0.0,0,0,0
Federal Energy Regulatory Commission v. Mississippi,6/1/82,1982,1980,upheld,Public Utility Regulatory Policies Act of 1978,95-617,11/9/78,43,95,Federalism,0.0,0.0,1,0,1.0,0.0,1,4,1
Schweiker v. Hogan,6/21/82,1982,1980,upheld,Social Security Amendments of 1967,90-248,1/2/68,161,90,Equality,0.0,0.0,1,0,1.0,0.0,1,0,1
Northern Pipeline Construction Co. v. Marathon Pipe Line Co.,6/28/82,1982,1980,struck down on face,Bankruptcy Reform Act of 1978,95-598,11/6/78,43,95,Separation of Powers,1.0,1.0,1,0,0.0,1.0,0,3,1
Federal Election Commission v. National Right to Work Committee,12/13/82,1982,1980,upheld,Federal Election Campaign Act Amendments of 1976,94-283,5/11/76,67,94,Substantive Rights,0.0,0.0,0,1,1.0,0.0,1,0,1
United States v. Security Industrial Bank,11/30/82,1982,1980,struck down as applied,Bankruptcy Reform Act of 1978,95-598,11/6/78,48,95,Economic,1.0,0.0,1,0,0.0,0.0,1,0,1
Equal Employment Opportunity Commission v. Wyoming,3/2/83,1983,1980,upheld,Age Discrimination in Employment Act of 1967,90-202,12/15/67,195,90,Federalism,0.0,0.0,1,0,1.0,0.0,1,4,1
United States v. Grace,4/20/83,1983,1980,struck down as applied,63 Stat. 617,81-250,8/18/49,404,81,Substantive Rights,0.0,0.0,1,0,0.0,1.0,1,2,1
Block v. North Dakota,5/2/83,1983,1980,upheld,86 Stat. 1176,92-562,10/25/72,127,92,Federalism,0.0,0.0,1,1,1.0,0.0,1,1,1
Verlinden B.V. v. Central Bank of Nigeria,5/23/83,1983,1980,upheld,Foreign Sovereign Immunities Act of 1976,94-583,10/21/76,79,94,Separation of Powers,0.0,0.0,1,1,1.0,0.0,0,0,1
Regan v. Taxation without Representation,5/23/83,1983,1980,upheld,Renegotiation Act Extension,83-746,8/16/54,345,83,Substantive Rights,1.0,1.0,1,0,1.0,0.0,1,0,0
Bob Jones University v. United States,5/24/83,1983,1980,upheld,Renegotiation Act Extension,83-746,8/16/54,345,83,Substantive Rights,1.0,1.0,1,1,0.0,0.0,1,1,0
United States v. Rodgers,5/31/83,1983,1980,upheld,68A Stat. 874,83-746,8/16/54,345,92,Economic,1.0,0.0,1,1,1.0,0.0,1,4,1
"Bill Johnson's Restaurants, Inc. v. National Labor Relations Board",5/31/83,1983,1980,struck down as applied,Taft-Hartley Act,80-101,6/23/47,431,80,Substantive Rights,1.0,0.0,1,1,0.0,0.0,1,0,0
United States v. Villamonte-Marquez,6/17/83,1983,1980,upheld,Tariff Act of 1930,71-361,6/17/30,636,71,Due Process,1.0,0.0,1,1,1.0,0.0,1,3,0
United States v. Ptasynski,6/6/83,1983,1980,upheld,Crude Oil Windfall Profit Tax Act of 1980,96-223,4/2/80,38,96,Economic,1.0,0.0,1,0,1.0,0.0,1,0,1
Immigration and Nationalization Service v. Chadha,6/23/83,1983,1980,struck down on face,Immigration and Nationality Act,82-414,6/27/52,372,82,Separation of Powers,1.0,0.0,1,0,0.0,1.0,1,2,1
Process Gas Consumers Group v. Consumer Energy Council,7/6/83,1983,1980,struck down on face,Natural Gas Policy Act of 1978,95-621,11/9/78,56,95,Separation of Powers,1.0,0.0,0,1,0.0,1.0,1,1,1
U.S. Senate v. Federal Trade Commission,7/6/83,1983,1980,struck down on face,Federal Trade Commission Improvements Act of 1980,96-252,5/28/80,38,96,Separation of Powers,0.0,0.0,0,1,0.0,1.0,1,0,1
Bolger v. Youngs Drug Products Corp.,6/24/83,1983,1980,struck down as applied,84 Stat. 1974,92-662,1/8/71,137,92,Substantive Rights,0.0,0.0,1,0,0.0,1.0,1,0,1
Heckler v. Mathews,3/5/84,1984,1980,upheld,Social Security Amendments of 1977,95-216,12/20/77,75,95,Equality,0.0,0.0,1,0,1.0,0.0,1,0,1
"Ellis v. Brotherhood of Airline and Steamship Clerks, Freight Handlers, Express and Station Employees",4/25/84,1984,1980,upheld,Railway Labor Act Amendment,81-914,1/10/51,399,81,Substantive Rights,0.0,0.0,0,1,1.0,0.0,0,1,1
Hishon v. King & Spaulding,5/22/84,1984,1980,upheld,Civil Rights Act of 1964,88-352,7/2/64,238,88,Substantive Rights,1.0,1.0,1,1,1.0,0.0,0,0,1
Pension Benefit Guaranty Corp. v. R.A. Gray & Co.,6/18/84,1984,1980,upheld,Multiemployer Pension Plan Amendments of 1980,96-364,9/26/80,45,96,Due Process,1.0,1.0,0,0,1.0,0.0,1,0,1
"Securities and Exchange Commission v. Jerry T. O'Brien, Inc.",6/18/84,1984,1980,upheld,Securities Exchange Act of 1934,73-291,6/6/34,600,73,Due Process,1.0,0.0,1,1,1.0,0.0,1,0,1
"Sure-Tan, Inc. v. National Labor Relations Board",6/25/84,1984,1980,upheld,Taft-Hartley Act,80-101,6/23/47,444,80,Substantive Rights,1.0,0.0,1,1,1.0,0.0,1,6,0
Ruckelshaus v. Monsanto Co.,6/26/84,1984,1980,upheld,Federal Pesticide Act of 1978,95-396,9/30/78,69,95,Economic,0.0,0.0,1,1,0.0,0.0,1,1,1
Regan v. Wald,6/28/84,1984,1980,upheld,International Emergency Economic Powers Act,95-223,12/28/77,78,95,Substantive Rights,0.0,0.0,1,1,1.0,0.0,1,4,1
Federal Communications Commission v. League of Women Voters,7/2/84,1984,1980,struck down on face,Omnibus Budget Reconciliation Act of 1981,97-35,8/13/81,35,97,Substantive Rights,1.0,0.0,1,0,0.0,1.0,1,4,1
"Regan v. Time, Inc.",7/3/84,1984,1980,struck down on face,72 Stat. 1771,85-921,9/2/58,322,85,Substantive Rights,0.0,0.0,1,0,1.0,1.0,1,5,1
Selective Service System v. Minnesota Public Interest Research Group,7/5/84,1984,1980,upheld,Department of Defense Authorization Act of 1983,97-252,9/8/82,22,97,Due Process,0.0,0.0,1,0,1.0,0.0,1,2,1
Garcia v. San Antonio Metropolitan Transit Authority,2/19/85,1985,1980,upheld,Fair Labor Standards Amendments of 1974,93-259,4/8/74,130,93,Federalism,0.0,0.0,1,0,1.0,0.0,0,4,1
"National Railroad Passenger Corp. v. Atchison, Topeka & Santa Fe Railway Co.",3/18/85,1985,1980,upheld,Amtrak Reorganization Act of 1979,93-73,9/29/79,66,93,Economic,0.0,0.0,1,0,1.0,0.0,1,0,1
Federal Election Commission v. National Conservative Political Action Committee,3/18/85,1985,1980,struck down on face,Revenue Act of 1971,92-178,12/10/71,159,92,Substantive Rights,1.0,0.0,0,0,1.0,1.0,1,4,1
Tony & Susan Alamo Foundation v. Secretary of Labor,4/23/85,1985,1980,upheld,Fair Labor Standards Act of 1938,75-718,6/25/38,514,75,Substantive Rights,1.0,1.0,1,1,0.0,0.0,1,0,1
"Harper & Rowe, Publishers, Inc. v. Nation Enterprises",5/20/85,1985,1980,upheld,Design Protection Act,94-553,10/19/76,103,94,Substantive Rights,1.0,1.0,0,1,1.0,0.0,0,3,1
United States v. Locke,4/1/85,1985,1980,upheld,Federal Land Policy and Management Act,94-573,10/21/76,90,94,Due Process,1.0,0.0,1,0,1.0,0.0,1,3,1
Lowe v. Securities and Exchange Commission,6/10/85,1985,1980,struck down as applied,Investment Company Act of 1940,76-768,8/22/40,538,76,Substantive Rights,0.0,0.0,1,1,1.0,0.0,1,0,1
United States v. Abertini,6/24/85,1985,1980,upheld,Penal Law Codification of 1909,60-350,3/4/09,915,60,Substantive Rights,1.0,0.0,1,1,1.0,0.0,1,3,0
Walters v. National Association of Radiation Survivors,6/28/85,1985,1980,upheld,13 Stat. 389,,7/4/1864,1463,38,Economic,0.0,0.0,1,0,1.0,0.0,1,3,0
Aguilar v. Felton,7/1/85,1985,1980,struck down as applied,Elementary and Secondary Education Act of 1965,89-10,4/11/65,243,89,Substantive Rights,1.0,1.0,1,0,0.0,0.0,1,4,1
Thomas v. Union Carbide Agricultural Products Co.,7/1/85,1985,1980,upheld,Federal Pesticide Act of 1978,95-396,9/30/78,82,95,Separation of Powers,0.0,0.0,1,1,1.0,0.0,1,0,1
Connolly v. Pension Benefits Guaranty Corp.,2/26/86,1986,1980,upheld,Multiemployer Pension Plan Amendments of 1980,96-364,9/26/80,65,96,Economic,0.0,0.0,0,0,0.0,0.0,1,0,1
Dow Chemical Co. v. United States,5/19/86,1986,1980,upheld,Clean Air Amendments of 1970,91-604,12/31/70,185,91,Due Process,1.0,1.0,1,1,0.0,0.0,1,4,1
Bowens v. Owens,5/19/86,1986,1980,upheld,Housing and Community Development Act of 1977,95-128,12/20/77,101,95,Equality,0.0,0.0,1,0,1.0,0.0,1,3,1
United States v. Hemme,6/3/86,1986,1980,upheld,Tax Reform Act of 1976,94-455,10/4/76,116,94,Due Process,1.0,1.0,1,0,1.0,0.0,1,0,1
Bowen v. Roy,6/11/86,1986,1980,upheld,Deficit Reduction Act of 1984,98-369,7/18/84,23,98,Substantive Rights,0.0,0.0,1,0,0.0,0.0,1,4,1
Bowen v. Public Agencies Opposed to Social Security Entrapment,6/19/86,1986,1980,upheld,Social Security Amendments Act,98-21,4/20/83,38,98,Economic,0.0,0.0,1,0,1.0,0.0,1,0,1
Lyng v. Castillo,6/27/86,1986,1980,upheld,Omnibus Budget Reconciliation Act of 1982,97-253,9/8/82,45,97,Equality,0.0,0.0,1,0,1.0,0.0,1,3,1
Local 28 of Sheet Metal Workers' International Association v. Equal Employment Opportunity Commission,7/2/86,1986,1980,upheld,Civil Rights Act of 1964,88-352,7/2/64,264,88,Equality,1.0,1.0,1,1,0.0,0.0,1,4,1
Bowsher v. Synar,7/7/86,1986,1980,struck down on face,Balanced Budget and Emergency Deficit Control Reaffirmation Act,99-177,12/12/85,7,99,Separation of Powers,1.0,0.0,0,0,0.0,1.0,1,2,1
Commodity Futures Trading Commission v. Schor,7/7/86,1986,1980,upheld,Commodity Futures Trading Communication Act of 1974,93-463,10/23/74,141,93,Separation of Powers,0.0,0.0,1,1,1.0,0.0,1,2,1
"Federal Election Commission v. Massachusetts Citizens for Life, Inc.",12/15/86,1986,1980,struck down as applied,Federal Election Campaign Act Amendments of 1976,94-283,5/11/76,127,94,Substantive Rights,0.0,0.0,0,0,0.0,1.0,1,4,1
Federal Communications Commission v. Florida Power Corp.,2/25/87,1987,1980,upheld,Communications Act Amendments of 1978,95-234,2/21/78,108,95,Economic,0.0,0.0,1,0,1.0,0.0,1,0,1
United States v. Cherokee Nation of Oklahoma,3/31/87,1987,1980,upheld,60 Stat. 635,79-525,7/24/46,488,79,Economic,0.0,0.0,1,1,1.0,0.0,1,0,1
"Brock v. Roadway Express, Inc.",4/22/87,1987,1980,struck down as applied,Surface Transportation Assistance Act of 1982,97-424,1/6/83,15,97,Due Process,1.0,0.0,1,0,1.0,0.0,1,5,1
Tull v. United States,4/28/87,1987,1980,struck down as applied,Federal Water Pollution Control Act Amendments of 1972,92-500,10/18/72,174,92,Due Process,1.0,0.0,1,1,1.0,0.0,1,2,1
Meese v. Keene,4/28/87,1987,1980,upheld,52 Stat. 631,75-583,6/8/38,586,75,Substantive Rights,0.0,0.0,1,0,1.0,0.0,1,3,1
Hodel v. Irving,5/18/87,1987,1980,struck down on face,96 Stat. 2519,97-459,1/12/83,52,97,Economic,0.0,0.0,1,0,0.0,1.0,1,0,1
United States v. Salerno,5/26/87,1987,1980,upheld,Comprehensive Crime Control Act of 1984,98-473,10/12/84,31,98,Due Process,1.0,0.0,1,1,1.0,0.0,1,3,1
Tanner v. United States,6/22/87,1987,1980,upheld,Federal Rule of Evidence,94-149,12/12/75,139,94,Due Process,0.0,0.0,1,1,0.0,0.0,1,4,1
South Dakota v. Dole,6/23/87,1987,1980,upheld,National Minimum Drinking Age Act,98-363,7/17/84,35,98,Federalism,1.0,1.0,1,1,0.0,0.0,0,2,1
Puerto Rico v. Branstad,6/23/87,1987,1980,upheld,Fugitive Slave Act of 1793,2-7,2/12/1793,2332,2,Federalism,1.0,0.0,0,1,1.0,0.0,0,0,1
Corporation of Presiding Bishop of the Church of Jesus Christ of Latter-Day Saints v. Amos,6/24/87,1987,1980,upheld,Civil Rights Act of 1964,88-352,7/2/64,275,88,Substantive Rights,1.0,0.0,1,0,1.0,0.0,1,0,1
Solorio v. United States,6/25/87,1987,1980,upheld,Uniform Code of Military Justice Act,81-506,5/5/50,445,81,Due Process,0.0,0.0,1,1,0.0,0.0,1,3,1
San Francisco Arts & Athletics v. United States Olympic Committee,6/25/87,1987,1980,upheld,Amateur Sports Act of 1978,95-606,11/8/78,103,95,Substantive Rights,0.0,0.0,0,1,0.0,0.0,0,4,1
Bowen v. Gilliard,6/25/87,1987,1980,upheld,Deficit Reduction Act of 1984,98-369,7/18/84,35,98,Substantive Rights,0.0,0.0,1,0,1.0,0.0,1,3,1
Boos v. Barry,3/22/88,1988,1980,struck down on face,Pittman Embassy Picketing Act,75-79,2/15/38,589,75,Substantive Rights,0.0,0.0,1,1,1.0,1.0,0,3,1
Lyng v. International Union,3/23/88,1988,1980,upheld,Omnibus Budget Reconciliation Act of 1981,97-35,8/13/81,67,97,Substantive Rights,1.0,1.0,1,0,1.0,0.0,1,3,1
Lyng v. Northwest Indian Cemetery Protective Association,4/19/88,1988,1980,upheld,California Wilderness Act of 1984,98-425,9/28/84,43,98,Substantive Rights,0.0,0.0,1,1,1.0,0.0,1,3,1
South Carolina v. Baker,4/20/88,1988,1980,upheld,Tax Equity and Fiscal Responsibility Act of 1982,97-248,9/3/82,67,97,Federalism,1.0,0.0,1,0,0.0,0.0,1,1,1
Edward J. DeBartolo Corp. v. Florida Gulf Coast Building and Construction Trades Council,4/20/88,1988,1980,struck down as applied,Labor-Management Reporting and Disclosure Act of 1959,86-257,9/14/59,343,86,Substantive Rights,1.0,1.0,1,1,0.0,0.0,0,0,1
Federal Deposit Insurance Corp. v. Mallen,5/31/88,1988,1980,upheld,Financial Institutions Supervisory Act of 1966,89-695,10/16/66,259,89,Due Process,0.0,0.0,1,0,1.0,0.0,1,0,1
Bowen v. Kendrick,6/29/88,1988,1980,upheld,Omnibus Budget Reconciliation Act of 1981,97-35,8/13/81,82,97,Substantive Rights,1.0,0.0,1,0,1.0,0.0,1,4,1
Morrison v. Olson,6/29/88,1988,1980,upheld,Ethics in Government Act of 1978,95-521,10/26/78,116,95,Separation of Powers,1.0,0.0,1,0,1.0,0.0,1,1,1
Mistretta v. United States,1/18/89,1989,1980,upheld,Comprehensive Crime Control Act of 1984,98-473,10/12/84,51,98,Separation of Powers,1.0,1.0,1,1,0.0,0.0,1,1,1
Mesa v. California,2/21/89,1989,1980,struck down as applied,Judiciary and Judicial Procedure Act,80-773,6/25/48,608,80,Federalism,0.0,0.0,1,1,0.0,0.0,0,0,0
Coit Independence Joint Venture v. Federal Savings and Loan Insurance Corp.,3/21/89,1989,1980,struck down as applied,National Housing Act,73-479,6/27/34,657,73,Separation of Powers,1.0,0.0,1,1,1.0,0.0,1,0,1
Skinner v. Mid-American Pipeline Co.,4/25/89,1989,1980,upheld,Consolidate Omnibus Budget Reconciliation Act of 1985,99-272,4/7/86,36,99,Separation of Powers,0.0,0.0,1,0,1.0,0.0,1,0,1
United States v. Halper,5/15/89,1989,1980,struck down as applied,96 Stat. 978,97-258,9/13/82,80,97,Due Process,0.0,0.0,1,0,0.0,0.0,1,0,1
Hernandez v. Commissioner,6/5/89,1989,1980,upheld,Revenue Act of 1943,78-235,2/25/44,544,78,Substantive Rights,1.0,0.0,1,1,0.0,0.0,1,2,1
Gomez v. United States,6/12/89,1989,1980,struck down as applied,Federal Magistrates Act,90-578,10/17/68,248,90,Separation of Powers,0.0,0.0,1,1,1.0,0.0,1,0,1
Pennsylvania v. Union Gas Co.,6/15/89,1989,1980,upheld,"Comprehensive Environmental Response, Compensation, and Liability Act of 1980",96-510,12/11/80,102,96,Federalism,1.0,0.0,0,1,0.0,0.0,0,4,1
Missouri v. Jenkins,6/19/89,1989,1980,upheld,Civil Rights Attorney's Fees Awards Act of 1976,94-559,10/19/76,152,94,Federalism,0.0,0.0,0,1,0.0,0.0,0,3,1
Public Citizen v. United States Department of Justice,6/21/89,1989,1980,struck down as applied,Federal Advisory Committee Act,92-463,10/6/72,200,92,Separation of Powers,0.0,0.0,1,0,0.0,0.0,1,0,1
United States v. Monsanto,6/22/89,1989,1980,upheld,Comprehensive Crime Control Act of 1984,98-473,10/12/84,56,98,Due Process,0.0,0.0,1,1,1.0,0.0,1,4,1
Caplin & Drysdale v. United States,6/22/89,1989,1980,upheld,Comprehensive Drug Abuse Prevention and Control Act of 1970,91-513,10/27/70,224,91,Due Process,1.0,0.0,1,1,0.0,0.0,1,4,1
"Sable Communications of California, Inc. v. Federal Communications Commission",6/23/89,1989,1980,struck down as applied,Anti-Drug Abuse Act of 1988,100-690,11/18/88,7,100,Substantive Rights,1.0,0.0,1,0,0.0,1.0,1,3,1
"Granfinanciera, S.A. v. Nordberg",6/23/89,1989,1980,struck down as applied,Bankruptcy Amendments and Federal Judgeship Act of 1984,98-353,7/10/84,59,98,Due Process,1.0,0.0,0,1,1.0,0.0,0,3,1
Hoffman v. Connecticut Department of Income Maintenance,6/23/89,1989,1980,struck down as applied,Bankruptcy Reform Act of 1978,95-598,11/6/78,127,95,Federalism,1.0,0.0,1,1,0.0,0.0,0,4,1
United States v. Sperry Corp.,11/28/89,1989,1980,upheld,Foreign Relations Authorization Act,99-93,8/16/85,51,99,Economic,0.0,0.0,1,0,1.0,0.0,1,0,1
University of Pennsylvania v. Equal Employment Opportunity Commission,1/9/90,1990,1990,upheld,Civil Rights Act of 1964,88-352,7/2/64,305,88,Substantive Rights,1.0,0.0,1,1,0.0,0.0,1,0,1
Federal Trade Commission v. Superior Court Trial Lawyers Association,1/22/90,1990,1990,upheld,Federal Trade Commission Act,63-203,9/26/14,904,63,Substantive Rights,1.0,1.0,1,1,1.0,0.0,1,3,1
Preseault v. Interstate Commerce Commission,2/21/90,1990,1990,upheld,National Trails System Act Amendments,98-11,3/28/83,83,98,Federalism,0.0,0.0,1,1,0.0,0.0,1,0,1
"Chauffeurs, Teamsters & Helpers, Local No. 391 v. Terry",3/20/90,1990,1990,struck down as applied,Taft-Hartley Act,80-101,6/23/47,513,80,Due Process,1.0,0.0,0,1,0.0,0.0,0,3,0
United States Department of Labor v. Triplett,3/27/90,1990,1990,upheld,Federal Coal Mine Helath and Safety Act of 1969,91-173,12/30/69,243,91,Due Process,0.0,0.0,1,1,1.0,0.0,1,0,1
United States v. Munoz-Flores,5/21/90,1990,1990,upheld,Comprehensive Crime Control Act of 1984,98-473,10/12/84,67,98,Separation of Powers,0.0,0.0,1,1,1.0,0.0,1,0,1
Board of Education of Westside Community School v. Mergens,6/4/90,1990,1990,upheld,Education for Economic Security Act,98-377,8/11/84,70,98,Substantive Rights,0.0,0.0,1,1,0.0,0.0,0,1,1
United States v. Eichman,6/11/90,1990,1990,struck down on face,Flag Protection Act of 1989,101-131,10/28/89,8,101,Substantive Rights,0.0,0.0,1,0,0.0,1.0,1,4,1
Perpich v. Department of Defense,6/11/90,1990,1990,upheld,National Defense Authorization Act for Fiscal Year 1987,99-661,11/14/86,43,99,Federalism,0.0,0.0,1,1,0.0,0.0,1,0,1
Office of Personnel Management v. Richmond,6/11/90,1990,1990,upheld,80 Stat. 584,89-554,9/6/66,285,89,Separation of Powers,0.0,0.0,1,1,1.0,0.0,1,2,1
Sullivan v. Stroop,6/14/90,1990,1990,upheld,Deficit Reduction Act of 1984,98-369,7/18/84,71,98,Equality,0.0,0.0,1,1,1.0,0.0,1,4,1
"Metro Broadcasting, Inc. v. Federal Communications Commission",6/27/90,1990,1990,upheld,101 Stat. 1329,100-202,12/22/87,30,100,Equality,0.0,0.0,1,1,1.0,0.0,1,4,1
Touby v. United States,5/20/91,1991,1990,upheld,Comprehensive Crime Control Act of 1984,98-473,10/12/84,79,98,Separation of Powers,0.0,0.0,1,1,0.0,0.0,1,0,1
Rust v. Sullivan,5/23/91,1991,1990,upheld,Family Planning Services and Population Research Act of 1970,91-572,12/24/70,245,91,Substantive Rights,0.0,0.0,1,1,0.0,0.0,1,4,1
Chapman v. United States,5/30/91,1991,1990,upheld,Anti-Drug Abuse Act of 1986,99-570,10/27/86,55,99,Due Process,1.0,1.0,1,1,0.0,0.0,1,2,1
Burns v. United States,6/13/91,1991,1990,struck down as applied,Comprehensive Crime Control Act of 1984,98-473,10/12/84,80,98,Due Process,1.0,0.0,1,1,1.0,0.0,1,4,1
Metropolitan Washington Airports Authority v. Citizens for Abatement of Aircraft Noise,6/17/91,1991,1990,struck down on face,"Agriculture, Rural Development, and Related Agencies Appropriations Act",99-591,10/30/86,56,99,Separation of Powers,0.0,0.0,1,1,0.0,1.0,0,3,1
Gregory v. Ashcroft,6/20/91,1991,1990,struck down on face,Fair Labor Standards Amendments of 1974,93-259,4/8/74,206,93,Federalism,0.0,0.0,0,1,0.0,0.0,0,4,1
Freytag v. Commissioner,6/27/91,1991,1990,upheld,Tax Reform Act of 1986,99-514,10/22/86,56,99,Separation of Powers,1.0,0.0,1,1,0.0,0.0,1,0,1
Peretz v. United States,6/27/91,1991,1990,upheld,Federal Magistrates Act,90-578,10/17/68,284,90,Separation of Powers,0.0,0.0,1,1,0.0,0.0,1,4,1
Willy v. Coastal Corp.,3/3/92,1992,1990,upheld,Judiciary and Judicial Procedure Act,80-773,6/25/48,537,80,Separation of Powers,0.0,0.0,0,1,0.0,0.0,0,0,0
National Railroad Passenger Corp. v. Boston & Maine Corp.,3/25/92,1992,1990,upheld,Rail Passenger Service Act of 1970,91-518,10/30/70,269,91,Economic,1.0,0.0,1,1,1.0,0.0,1,3,1
Robertson v. Seattle Audubon Society,3/25/92,1992,1990,upheld,103 Stat. 745,101-121,10/23/89,29,101,Separation of Powers,0.0,0.0,1,1,1.0,0.0,1,0,1
Department of Commerce v. Montana,3/31/92,1992,1990,upheld,55 Stat. 761,77-291,11/15/41,616,77,Equality,0.0,0.0,1,1,1.0,0.0,1,0,1
Lujan v. Defenders of Wildlife,6/12/92,1992,1990,struck down as applied,Endangered Species Act of 1973,93-205,12/28/73,234,93,Separation of Powers,1.0,0.0,1,1,1.0,0.0,1,2,1
New York v. United States,6/19/92,1992,1990,struck down on face,Low-Level Radioactive Waste Policy Amendments Act of 1985,99-240,1/15/86,77,99,Federalism,0.0,0.0,1,1,1.0,1.0,1,3,1
Reno v. Flores,3/23/92,1992,1990,upheld,Immigration and Nationality Act,82-414,6/27/52,477,82,Due Process,1.0,0.0,1,1,1.0,0.0,1,2,1
Rowland v. California Men's Colony,1/12/93,1993,1990,upheld,73 Stat. 590,86-321,9/21/59,400,86,Substantive Rights,0.0,0.0,0,1,1.0,0.0,0,4,1
Federal Communications Commission v. Beach Communications,6/1/93,1993,1990,upheld,Cable Communications Policy Act of 1984,98-549,10/30/84,104,98,Equality,1.0,0.0,1,1,1.0,0.0,1,0,1
