CASE,CITATION,DATE,YEAR,DECADE,DECISION,DECISION2,EFFECT,STAT NAME,STAT CITE,PL #,S-DATE,TIME TO DECISION,CONGRESS,AREA1,AREA2,LNDMRK,LNDDTL,ATT GEN,CERT,REVERSD,CRS,GVT PRTY,DISSENT,H-CT
Maher v. Gagne,448 U.S. 122,6/25/80,1980,1980,0,0,upheld,Civil Rights Attorney's Fees Awards Act of 1976,90 Stat. 2641,94-559,10/19/76,44,94,5,,0,0,0,1,0,0,0,0,1
United States v. Ward,448 U.S. 242,6/27/80,1980,1980,0,0,upheld,Water Pollution Control Act,62 Stat. 1155,80-845,6/30/48,384,80,1,,0,0,1,1,1,0,1,1,0
Harris v. McRae,448 U.S. 297,6/30/80,1980,1980,0,0,upheld,"Departments of Labor and Health, Education, and Welfare Appropriate Act of 1977",90 Stat. 1434,94-439,9/30/76,45,94,2,3,0,0,1,1,0,0,1,4,1
United States v. Sioux Nation of Indians,448 U.S. 371,6/30/80,1980,1980,0,0,upheld,Indian Claims Commission Act Amendment,92 Stat. 153,95-243,3/13/78,27,95,6,,0,0,1,0,1,0,1,1,1
Fullilove v. Klutznick,448 U.S. 448,7/2/80,1980,1980,0,0,upheld,Public Works Employment Act of 1977,91 Stat. 116,95-28,5/13/77,38,95,3,,0,0,1,1,0,0,1,3,1
"Industrial Union Department, AFL-CIO v. American Petroleum Institute",448 U.S. 607,7/2/80,1980,1980,1,1,struck down as applied,Occupational Safety and Health Act of 1970,84 Stat. 1590,91-596,12/29/70,115,91,6,,1,1,1,1,0,0,0,4,1
United States v. Difrancesco,449 U.S. 117,12/9/80,1980,1980,0,0,upheld,Organized Crime Control Act of 1970,84 Stat. 922,91-452,10/15/70,122,91,1,,1,0,1,0,1,0,1,4,1
United States Railroad Retirement Board v. Fritz,449 U.S. 166,12/9/80,1980,1980,0,0,upheld,Railroad Retirement Act of 1937,88 Stat. 1305,93-445,10/16/74,74,93,4,,0,0,1,1,1,0,1,2,1
United States v. Will,449 U.S. 200,12/15/80,1980,1980,2,1,struck down on face,"Treasury, Postal Service, and General Government Appropriations Act of 1980",93 Stat. 565,96-74,10/12/79,14,96,6,,0,0,1,0,1,1,1,0,1
United States v. Darusmont,449 U.S. 292,1/12/81,1981,1980,0,0,upheld,Tax Reform Act of 1976,90 Stat. 1549,94-455,10/4/76,51,94,1,,1,1,0,0,1,0,1,0,1
Schweiker v. Wilson,450 U.S. 221,3/4/81,1981,1980,0,0,upheld,Social Security Amendments of 1972,86 Stat. 1465,92-603,10/30/72,101,92,3,,0,0,1,0,1,0,1,4,1
Albernaz v. United States,450 U.S. 333,3/9/81,1981,1980,0,0,upheld,Comprehensive Drug Abuse Prevention and Control Act of 1970,84 Stat. 1236,91-513,10/27/70,125,91,1,,1,0,1,1,0,0,1,0,1
Hodel v. Virginia Surface Mining and Reclamation Association,452 U.S. 264,6/15/81,1981,1980,0,0,upheld,Surface Mining Control and Reclamation Act of 1977,91 Stat. 445,95-87,8/3/77,46,95,5,,1,1,1,0,1,0,1,0,1
Hodel v. Indiana,452 U.S. 314,6/15/81,1981,1980,0,0,upheld,Surface Mining Control and Reclamation Act of 1977,91 Stat. 445,95-87,8/3/77,46,95,5,4,1,1,1,0,1,0,1,0,1
Donovan v. Dewey,452 U.S. 594,6/17/81,1981,1980,0,0,upheld,Federal Mine Safety and Health Amendments Act of 1977,91 Stat. 1290,95-164,11/9/77,43,95,1,4,0,0,1,0,1,0,1,1,1
United States Postal Service v. Council of Greenburgh Civic Associations,453 U.S. 114,6/25/81,1981,1980,0,0,upheld,Crimes and Criminal Procedure Act,62 Stat. 683,80-772,6/25/48,396,80,2,,0,0,1,0,1,0,1,2,0
California Medical Association v. Federal Election Commission,453 U.S. 182,6/26/81,1981,1980,0,0,upheld,Federal Election Campaign Act of 1971,86 Stat. 11,92-225,2/7/72,112,92,2,4,1,0,0,0,0,0,1,4,1
Haig v. Agee,453 U.S. 280,6/29/81,1981,1980,0,0,upheld,Walsh Act,44 Stat. 887,69-493,7/3/26,659,69,2,1,0,0,1,1,1,0,1,2,0
CBS v. Federal Communications Commission,453 U.S. 367,7/1/81,1981,1980,0,0,upheld,Federal Election Campaign Act of 1971,86 Stat. 4,92-225,2/7/72,101,92,2,,1,0,1,1,0,0,1,3,1
Rostker v. Goldberg,453 U.S. 57,6/25/81,1981,1980,0,0,upheld,Selective Services Act of 1948,62 Stat. 605,80-759,6/24/48,396,80,3,,0,0,1,0,1,0,1,3,0
Dames & Moore v. Regan,453 U.S. 654,7/2/81,1981,1980,0,0,upheld,International Emergency Economic Powers Act,91 Stat. 1626,95-223,12/28/77,43,95,4,6,0,0,1,1,0,0,1,1,1
United States v. Lee,455 U.S. 252,2/23/82,1982,1980,0,0,upheld,Social Security Act Amendments of 1939,53 Stat. 1381,76-379,8/10/39,510,76,2,,1,0,1,0,1,0,1,0,1
Railway Labor Executives' Association v. Gibbons,455 U.S. 457,3/2/82,1982,1980,2,1,struck down on face,Staggers Rail Act of 1980,94 Stat. 1959,96-448,10/14/80,17,96,4,,1,0,1,0,0,1,0,0,1
United Transportatoin Union v. Long Island Railroad,455 U.S. 678,3/24/82,1982,1980,0,0,upheld,Railway Labor Act,44 Stat. 577,69-257,5/20/26,682,69,5,,1,1,1,1,1,0,0,0,0
Schweiker v. McClure,456 U.S. 188,3/1/82,1982,1980,0,0,upheld,Social Security Amendments of 1965,79 Stat. 291,89-97,7/30/65,200,89,1,,1,0,1,0,1,0,1,0,1
International Longshoremen's Association v. Allied International,456 U.S. 212,4/20/82,1982,1980,0,0,upheld,Taft-Hartley Act,61 Stat. 141,80-101,6/23/47,430,80,2,,1,1,1,1,0,0,0,0,0
Federal Energy Regulatory Commission v. Mississippi,456 U.S. 742,6/1/82,1982,1980,0,0,upheld,Public Utility Regulatory Policies Act of 1978,92 Stat. 3117,95-617,11/9/78,43,95,5,,0,0,1,0,1,0,1,4,1
Schweiker v. Hogan,457 U.S. 569,6/21/82,1982,1980,0,0,upheld,Social Security Amendments of 1967,81 Stat. 898,90-248,1/2/68,161,90,3,,0,0,1,0,1,0,1,0,1
Northern Pipeline Construction Co. v. Marathon Pipe Line Co.,458 U.S. 50,6/28/82,1982,1980,2,1,struck down on face,Bankruptcy Reform Act of 1978,92 Stat. 2549,95-598,11/6/78,43,95,6,,1,1,1,0,0,1,0,3,1
Federal Election Commission v. National Right to Work Committee,459 U.S. 197,12/13/82,1982,1980,0,0,upheld,Federal Election Campaign Act Amendments of 1976,90 Stat. 490,94-283,5/11/76,67,94,2,,0,0,0,1,1,0,1,0,1
United States v. Security Industrial Bank,459 U.S. 70,11/30/82,1982,1980,1,1,struck down as applied,Bankruptcy Reform Act of 1978,92 Stat. 2549,95-598,11/6/78,48,95,4,,1,0,1,0,0,0,1,0,1
Equal Employment Opportunity Commission v. Wyoming,460 U.S. 226,3/2/83,1983,1980,0,0,upheld,Age Discrimination in Employment Act of 1967,81 Stat. 602,90-202,12/15/67,195,90,5,,0,0,1,0,1,0,1,4,1
United States v. Grace,461 U.S. 171,4/20/83,1983,1980,1,1,struck down as applied,63 Stat. 617,63 Stat. 617,81-250,8/18/49,404,81,2,,0,0,1,0,0,1,1,2,1
Block v. North Dakota,461 U.S. 273,5/2/83,1983,1980,0,0,upheld,86 Stat. 1176,86 Stat. 1176,92-562,10/25/72,127,92,5,,0,0,1,1,1,0,1,1,1
Verlinden B.V. v. Central Bank of Nigeria,461 U.S. 480,5/23/83,1983,1980,0,0,upheld,Foreign Sovereign Immunities Act of 1976,90 Stat. 2891,94-583,10/21/76,79,94,6,,0,0,1,1,1,0,0,0,1
Regan v. Taxation without Representation,461 U.S. 540,5/23/83,1983,1980,0,0,upheld,Renegotiation Act Extension,68A Stat. 163,83-746,8/16/54,345,83,2,,1,1,1,0,1,0,1,0,0
Bob Jones University v. United States,461 U.S. 574,5/24/83,1983,1980,0,0,upheld,Renegotiation Act Extension,68A Stat. 163,83-746,8/16/54,345,83,2,,1,1,1,1,0,0,1,1,0
United States v. Rodgers,461 U.S. 677,5/31/83,1983,1980,0,0,upheld,68A Stat. 874,68A Stat. 874,83-746,8/16/54,345,92,4,,1,0,1,1,1,0,1,4,1
"Bill Johnson's Restaurants, Inc. v. National Labor Relations Board",461 U.S. 731,5/31/83,1983,1980,1,1,struck down as applied,Taft-Hartley Act,61 Stat. 141,80-101,6/23/47,431,80,2,,1,0,1,1,0,0,1,0,0
United States v. Villamonte-Marquez,462 U.S. 579,6/17/83,1983,1980,0,0,upheld,Tariff Act of 1930,46 Stat. 747,71-361,6/17/30,636,71,1,,1,0,1,1,1,0,1,3,0
United States v. Ptasynski,462 U.S. 74,6/6/83,1983,1980,0,0,upheld,Crude Oil Windfall Profit Tax Act of 1980,94 Stat. 229,96-223,4/2/80,38,96,4,,1,0,1,0,1,0,1,0,1
Immigration and Nationalization Service v. Chadha,462 U.S. 919,6/23/83,1983,1980,2,1,struck down on face,Immigration and Nationality Act,66 Stat. 216,82-414,6/27/52,372,82,6,,1,0,1,0,0,1,1,2,1
Process Gas Consumers Group v. Consumer Energy Council,463 U.S. 1216,7/6/83,1983,1980,2,1,struck down on face,Natural Gas Policy Act of 1978,92 Stat. 3372,95-621,11/9/78,56,95,6,,1,0,0,1,0,1,1,1,1
U.S. Senate v. Federal Trade Commission,463 U.S. 1216,7/6/83,1983,1980,2,1,struck down on face,Federal Trade Commission Improvements Act of 1980,94 Stat. 393,96-252,5/28/80,38,96,6,,0,0,0,1,0,1,1,0,1
Bolger v. Youngs Drug Products Corp.,463 U.S. 60,6/24/83,1983,1980,1,1,struck down as applied,84 Stat. 1974,84 Stat. 1974,92-662,1/8/71,137,92,2,,0,0,1,0,0,1,1,0,1
Heckler v. Mathews,465 U.S. 728,3/5/84,1984,1980,0,0,upheld,Social Security Amendments of 1977,91 Stat. 1544,95-216,12/20/77,75,95,3,,0,0,1,0,1,0,1,0,1
"Ellis v. Brotherhood of Airline and Steamship Clerks, Freight Handlers, Express and Station Employees",466 U.S. 435,4/25/84,1984,1980,0,0,upheld,Railway Labor Act Amendment,64 Stat. 1238,81-914,1/10/51,399,81,2,,0,0,0,1,1,0,0,1,1
Hishon v. King & Spaulding,467 U.S. 69,5/22/84,1984,1980,0,0,upheld,Civil Rights Act of 1964,78 Stat. 241,88-352,7/2/64,238,88,2,,1,1,1,1,1,0,0,0,1
Pension Benefit Guaranty Corp. v. R.A. Gray & Co.,467 U.S. 717,6/18/84,1984,1980,0,0,upheld,Multiemployer Pension Plan Amendments of 1980,94 Stat. 1208,96-364,9/26/80,45,96,1,,1,1,0,0,1,0,1,0,1
"Securities and Exchange Commission v. Jerry T. O'Brien, Inc.",467 U.S. 735,6/18/84,1984,1980,0,0,upheld,Securities Exchange Act of 1934,48 Stat. 899,73-291,6/6/34,600,73,1,,1,0,1,1,1,0,1,0,1
"Sure-Tan, Inc. v. National Labor Relations Board",467 U.S. 883,6/25/84,1984,1980,0,0,upheld,Taft-Hartley Act,61 Stat. 140,80-101,6/23/47,444,80,2,,1,0,1,1,1,0,1,6,0
Ruckelshaus v. Monsanto Co.,467 U.S. 986,6/26/84,1984,1980,0,0,upheld,Federal Pesticide Act of 1978,92 Stat. 819,95-396,9/30/78,69,95,4,,0,0,1,1,0,0,1,1,1
Regan v. Wald,468 U.S. 222,6/28/84,1984,1980,0,0,upheld,International Emergency Economic Powers Act,91 Stat. 1625,95-223,12/28/77,78,95,2,,0,0,1,1,1,0,1,4,1
Federal Communications Commission v. League of Women Voters,468 U.S. 364,7/2/84,1984,1980,2,1,struck down on face,Omnibus Budget Reconciliation Act of 1981,95 Stat. 730,97-35,8/13/81,35,97,2,,1,0,1,0,0,1,1,4,1
"Regan v. Time, Inc.",468 U.S. 641,7/3/84,1984,1980,2,1,struck down on face,72 Stat. 1771,72 Stat. 1771,85-921,9/2/58,322,85,2,,0,0,1,0,1,1,1,5,1
Selective Service System v. Minnesota Public Interest Research Group,468 U.S. 841,7/5/84,1984,1980,0,0,upheld,Department of Defense Authorization Act of 1983,96 Stat. 748,97-252,9/8/82,22,97,1,3,0,0,1,0,1,0,1,2,1
Garcia v. San Antonio Metropolitan Transit Authority,469 U.S. 528,2/19/85,1985,1980,0,0,upheld,Fair Labor Standards Amendments of 1974,88 Stat. 68,93-259,4/8/74,130,93,5,,0,0,1,0,1,0,0,4,1
"National Railroad Passenger Corp. v. Atchison, Topeka & Santa Fe Railway Co.",470 U.S. 451,3/18/85,1985,1980,0,0,upheld,Amtrak Reorganization Act of 1979,93 Stat. 546,93-73,9/29/79,66,93,4,,0,0,1,0,1,0,1,0,1
Federal Election Commission v. National Conservative Political Action Committee,470 U.S. 480,3/18/85,1985,1980,2,1,struck down on face,Revenue Act of 1971,85 Stat. 572,92-178,12/10/71,159,92,2,,1,0,0,0,1,1,1,4,1
Tony & Susan Alamo Foundation v. Secretary of Labor,471 U.S. 290,4/23/85,1985,1980,0,0,upheld,Fair Labor Standards Act of 1938,52 Stat. 1060,75-718,6/25/38,514,75,2,,1,1,1,1,0,0,1,0,1
"Harper & Rowe, Publishers, Inc. v. Nation Enterprises",471 U.S. 539,5/20/85,1985,1980,0,0,upheld,Design Protection Act,90 Stat. 2541,94-553,10/19/76,103,94,2,,1,1,0,1,1,0,0,3,1
United States v. Locke,471 U.S. 84,4/1/85,1985,1980,0,0,upheld,Federal Land Policy and Management Act,90 Stat. 2743,94-573,10/21/76,90,94,1,,1,0,1,0,1,0,1,3,1
Lowe v. Securities and Exchange Commission,472 U.S. 181,6/10/85,1985,1980,1,1,struck down as applied,Investment Company Act of 1940,54 Stat. 850,76-768,8/22/40,538,76,2,,0,0,1,1,1,0,1,0,1
United States v. Abertini,472 U.S. 675,6/24/85,1985,1980,0,0,upheld,Penal Law Codification of 1909,35 Stat. 1097,60-350,3/4/09,915,60,2,,1,0,1,1,1,0,1,3,0
Walters v. National Association of Radiation Survivors,473 U.S. 305,6/28/85,1985,1980,0,0,upheld,13 Stat. 389,13 Stat. 389,,7/4/1864,1463,38,4,2,0,0,1,0,1,0,1,3,0
Aguilar v. Felton,473 U.S. 402,7/1/85,1985,1980,1,1,struck down as applied,Elementary and Secondary Education Act of 1965,79 Stat. 27,89-10,4/11/65,243,89,2,,1,1,1,0,0,0,1,4,1
Thomas v. Union Carbide Agricultural Products Co.,473 U.S. 568,7/1/85,1985,1980,0,0,upheld,Federal Pesticide Act of 1978,92 Stat. 819,95-396,9/30/78,82,95,6,,0,0,1,1,1,0,1,0,1
Connolly v. Pension Benefits Guaranty Corp.,475 U.S. 211,2/26/86,1986,1980,0,0,upheld,Multiemployer Pension Plan Amendments of 1980,94 Stat. 1208,96-364,9/26/80,65,96,4,,0,0,0,0,0,0,1,0,1
Dow Chemical Co. v. United States,476 U.S. 227,5/19/86,1986,1980,0,0,upheld,Clean Air Amendments of 1970,84 Stat. 1687,91-604,12/31/70,185,91,1,,1,1,1,1,0,0,1,4,1
Bowens v. Owens,476 U.S. 340,5/19/86,1986,1980,0,0,upheld,Housing and Community Development Act of 1977,91 Stat. 1149,95-128,12/20/77,101,95,3,,0,0,1,0,1,0,1,3,1
United States v. Hemme,476 U.S. 558,6/3/86,1986,1980,0,0,upheld,Tax Reform Act of 1976,90 Stat. 1848,94-455,10/4/76,116,94,1,,1,1,1,0,1,0,1,0,1
Bowen v. Roy,476 U.S. 693,6/11/86,1986,1980,0,0,upheld,Deficit Reduction Act of 1984,98 Stat. 1149,98-369,7/18/84,23,98,2,,0,0,1,0,0,0,1,4,1
Bowen v. Public Agencies Opposed to Social Security Entrapment,477 U.S. 41,6/19/86,1986,1980,0,0,upheld,Social Security Amendments Act,97 Stat. 65,98-21,4/20/83,38,98,4,,0,0,1,0,1,0,1,0,1
Lyng v. Castillo,477 U.S. 635,6/27/86,1986,1980,0,0,upheld,Omnibus Budget Reconciliation Act of 1982,96 Stat. 772,97-253,9/8/82,45,97,3,,0,0,1,0,1,0,1,3,1
Local 28 of Sheet Metal Workers' International Association v. Equal Employment Opportunity Commission,478 U.S. 421,7/2/86,1986,1980,0,0,upheld,Civil Rights Act of 1964,78 Stat. 261,88-352,7/2/64,264,88,3,,1,1,1,1,0,0,1,4,1
Bowsher v. Synar,478 U.S. 714,7/7/86,1986,1980,2,1,struck down on face,Balanced Budget and Emergency Deficit Control Reaffirmation Act,99 Stat. 1038,99-177,12/12/85,7,99,6,,1,0,0,0,0,1,1,2,1
Commodity Futures Trading Commission v. Schor,478 U.S. 833,7/7/86,1986,1980,0,0,upheld,Commodity Futures Trading Communication Act of 1974,88 Stat. 1389,93-463,10/23/74,141,93,6,5,0,0,1,1,1,0,1,2,1
"Federal Election Commission v. Massachusetts Citizens for Life, Inc.",479 U.S. 238,12/15/86,1986,1980,1,1,struck down as applied,Federal Election Campaign Act Amendments of 1976,90 Stat. 490,94-283,5/11/76,127,94,2,,0,0,0,0,0,1,1,4,1
Federal Communications Commission v. Florida Power Corp.,480 U.S. 245,2/25/87,1987,1980,0,0,upheld,Communications Act Amendments of 1978,92 Stat. 35,95-234,2/21/78,108,95,4,,0,0,1,0,1,0,1,0,1
United States v. Cherokee Nation of Oklahoma,480 U.S. 700,3/31/87,1987,1980,0,0,upheld,60 Stat. 635,60 Stat. 635,79-525,7/24/46,488,79,4,,0,0,1,1,1,0,1,0,1
"Brock v. Roadway Express, Inc.",481 U.S. 252,4/22/87,1987,1980,1,1,struck down as applied,Surface Transportation Assistance Act of 1982,96 Stat. 2157,97-424,1/6/83,15,97,1,,1,0,1,0,1,0,1,5,1
Tull v. United States,481 U.S. 412,4/28/87,1987,1980,1,1,struck down as applied,Federal Water Pollution Control Act Amendments of 1972,86 Stat. 860,92-500,10/18/72,174,92,1,,1,0,1,1,1,0,1,2,1
Meese v. Keene,481 U.S. 465,4/28/87,1987,1980,0,0,upheld,52 Stat. 631,52 Stat. 631,75-583,6/8/38,586,75,2,,0,0,1,0,1,0,1,3,1
Hodel v. Irving,481 U.S. 704,5/18/87,1987,1980,2,1,struck down on face,96 Stat. 2519,96 Stat. 2519,97-459,1/12/83,52,97,4,,0,0,1,0,0,1,1,0,1
United States v. Salerno,481 U.S. 739,5/26/87,1987,1980,0,0,upheld,Comprehensive Crime Control Act of 1984,98 Stat. 1976,98-473,10/12/84,31,98,1,,1,0,1,1,1,0,1,3,1
Tanner v. United States,483 U.S. 107,6/22/87,1987,1980,0,0,upheld,Federal Rule of Evidence,89 Stat. 805,94-149,12/12/75,139,94,1,,0,0,1,1,0,0,1,4,1
South Dakota v. Dole,483 U.S. 203,6/23/87,1987,1980,0,0,upheld,National Minimum Drinking Age Act,98 Stat. 437,98-363,7/17/84,35,98,5,,1,1,1,1,0,0,0,2,1
Puerto Rico v. Branstad,483 U.S. 219,6/23/87,1987,1980,0,0,upheld,Fugitive Slave Act of 1793,1 Stat. 302,2-7,2/12/1793,2332,2,5,,1,0,0,1,1,0,0,0,1
Corporation of Presiding Bishop of the Church of Jesus Christ of Latter-Day Saints v. Amos,483 U.S. 327,6/24/87,1987,1980,0,0,upheld,Civil Rights Act of 1964,78 Stat. 255,88-352,7/2/64,275,88,2,,1,0,1,0,1,0,1,0,1
Solorio v. United States,483 U.S. 435,6/25/87,1987,1980,0,0,upheld,Uniform Code of Military Justice Act,64 Stat. 107,81-506,5/5/50,445,81,1,6,0,0,1,1,0,0,1,3,1
San Francisco Arts & Athletics v. United States Olympic Committee,483 U.S. 522,6/25/87,1987,1980,0,0,upheld,Amateur Sports Act of 1978,92 Stat. 3048,95-606,11/8/78,103,95,2,,0,0,0,1,0,0,0,4,1
Bowen v. Gilliard,483 U.S. 587,6/25/87,1987,1980,0,0,upheld,Deficit Reduction Act of 1984,98 Stat. 494,98-369,7/18/84,35,98,2,4,0,0,1,0,1,0,1,3,1
Boos v. Barry,485 U.S. 312,3/22/88,1988,1980,2,1,struck down on face,Pittman Embassy Picketing Act,52 Stat. 30,75-79,2/15/38,589,75,2,,0,0,1,1,1,1,0,3,1
Lyng v. International Union,485 U.S. 360,3/23/88,1988,1980,0,0,upheld,Omnibus Budget Reconciliation Act of 1981,95 Stat. 357,97-35,8/13/81,67,97,2,4,1,1,1,0,1,0,1,3,1
Lyng v. Northwest Indian Cemetery Protective Association,485 U.S. 439,4/19/88,1988,1980,0,0,upheld,California Wilderness Act of 1984,98 Stat. 1619,98-425,9/28/84,43,98,2,,0,0,1,1,1,0,1,3,1
South Carolina v. Baker,485 U.S. 505,4/20/88,1988,1980,0,0,upheld,Tax Equity and Fiscal Responsibility Act of 1982,96 Stat. 596,97-248,9/3/82,67,97,5,,1,0,1,0,0,0,1,1,1
Edward J. DeBartolo Corp. v. Florida Gulf Coast Building and Construction Trades Council,485 U.S. 568,4/20/88,1988,1980,1,1,struck down as applied,Labor-Management Reporting and Disclosure Act of 1959,73 Stat. 542,86-257,9/14/59,343,86,2,,1,1,1,1,0,0,0,0,1
Federal Deposit Insurance Corp. v. Mallen,486 U.S. 230,5/31/88,1988,1980,0,0,upheld,Financial Institutions Supervisory Act of 1966,80 Stat. 1046,89-695,10/16/66,259,89,1,,0,0,1,0,1,0,1,0,1
Bowen v. Kendrick,487 U.S. 589,6/29/88,1988,1980,0,0,upheld,Omnibus Budget Reconciliation Act of 1981,95 Stat. 578,97-35,8/13/81,82,97,2,,1,0,1,0,1,0,1,4,1
Morrison v. Olson,487 U.S. 654,6/29/88,1988,1980,0,0,upheld,Ethics in Government Act of 1978,92 Stat. 1867,95-521,10/26/78,116,95,6,,1,0,1,0,1,0,1,1,1
Mistretta v. United States,488 U.S. 361,1/18/89,1989,1980,0,0,upheld,Comprehensive Crime Control Act of 1984,98 Stat. 2027,98-473,10/12/84,51,98,6,,1,1,1,1,0,0,1,1,1
Mesa v. California,489 U.S. 121,2/21/89,1989,1980,1,1,struck down as applied,Judiciary and Judicial Procedure Act,62 Stat. 938,80-773,6/25/48,608,80,5,,0,0,1,1,0,0,0,0,0
Coit Independence Joint Venture v. Federal Savings and Loan Insurance Corp.,489 U.S. 561,3/21/89,1989,1980,1,1,struck down as applied,National Housing Act,48 Stat. 1256,73-479,6/27/34,657,73,6,,1,0,1,1,1,0,1,0,1
Skinner v. Mid-American Pipeline Co.,490 U.S. 212,4/25/89,1989,1980,0,0,upheld,Consolidate Omnibus Budget Reconciliation Act of 1985,100 Stat. 82,99-272,4/7/86,36,99,6,,0,0,1,0,1,0,1,0,1
United States v. Halper,490 U.S. 435,5/15/89,1989,1980,1,1,struck down as applied,96 Stat. 978,96 Stat. 978,97-258,9/13/82,80,97,1,,0,0,1,0,0,0,1,0,1
Hernandez v. Commissioner,490 U.S. 680,6/5/89,1989,1980,0,0,upheld,Revenue Act of 1943,58A Stat. 58,78-235,2/25/44,544,78,2,,1,0,1,1,0,0,1,2,1
Gomez v. United States,490 U.S. 858,6/12/89,1989,1980,1,1,struck down as applied,Federal Magistrates Act,82 Stat. 1108,90-578,10/17/68,248,90,6,1,0,0,1,1,1,0,1,0,1
Pennsylvania v. Union Gas Co.,491 U.S. 1,6/15/89,1989,1980,0,0,upheld,"Comprehensive Environmental Response, Compensation, and Liability Act of 1980",94 Stat. 2767,96-510,12/11/80,102,96,5,,1,0,0,1,0,0,0,4,1
Missouri v. Jenkins,491 U.S. 274,6/19/89,1989,1980,0,0,upheld,Civil Rights Attorney's Fees Awards Act of 1976,90 Stat. 2641,94-559,10/19/76,152,94,5,,0,0,0,1,0,0,0,3,1
Public Citizen v. United States Department of Justice,491 U.S. 440,6/21/89,1989,1980,1,1,struck down as applied,Federal Advisory Committee Act,86 Stat. 770,92-463,10/6/72,200,92,6,,0,0,1,0,0,0,1,0,1
United States v. Monsanto,491 U.S. 600,6/22/89,1989,1980,0,0,upheld,Comprehensive Crime Control Act of 1984,98 Stat. 2044,98-473,10/12/84,56,98,1,,0,0,1,1,1,0,1,4,1
Caplin & Drysdale v. United States,491 U.S. 617,6/22/89,1989,1980,0,0,upheld,Comprehensive Drug Abuse Prevention and Control Act of 1970,84 Stat. 1265,91-513,10/27/70,224,91,1,,1,0,1,1,0,0,1,4,1
"Sable Communications of California, Inc. v. Federal Communications Commission",492 U.S. 115,6/23/89,1989,1980,1,1,struck down as applied,Anti-Drug Abuse Act of 1988,102 Stat. 4502,100-690,11/18/88,7,100,2,,1,0,1,0,0,1,1,3,1
"Granfinanciera, S.A. v. Nordberg",492 U.S. 33,6/23/89,1989,1980,1,1,struck down as applied,Bankruptcy Amendments and Federal Judgeship Act of 1984,98 Stat. 333,98-353,7/10/84,59,98,1,6,1,0,0,1,1,0,0,3,1
Hoffman v. Connecticut Department of Income Maintenance,492 U.S. 96,6/23/89,1989,1980,1,1,struck down as applied,Bankruptcy Reform Act of 1978,92 Stat. 2555,95-598,11/6/78,127,95,5,,1,0,1,1,0,0,0,4,1
United States v. Sperry Corp.,493 U.S. 52,11/28/89,1989,1980,0,0,upheld,Foreign Relations Authorization Act,99 Stat. 438,99-93,8/16/85,51,99,4,1,0,0,1,0,1,0,1,0,1
University of Pennsylvania v. Equal Employment Opportunity Commission,493 U.S. 182,1/9/90,1990,1990,0,0,upheld,Civil Rights Act of 1964,78 Stat. 261,88-352,7/2/64,305,88,2,,1,0,1,1,0,0,1,0,1
Federal Trade Commission v. Superior Court Trial Lawyers Association,493 U.S. 411,1/22/90,1990,1990,0,0,upheld,Federal Trade Commission Act,38 Stat. 717,63-203,9/26/14,904,63,2,,1,1,1,1,1,0,1,3,1
Preseault v. Interstate Commerce Commission,494 U.S. 1,2/21/90,1990,1990,0,0,upheld,National Trails System Act Amendments,97 Stat. 48,98-11,3/28/83,83,98,5,,0,0,1,1,0,0,1,0,1
"Chauffeurs, Teamsters & Helpers, Local No. 391 v. Terry",494 U.S. 558,3/20/90,1990,1990,1,1,struck down as applied,Taft-Hartley Act,61 Stat. 143,80-101,6/23/47,513,80,1,,1,0,0,1,0,0,0,3,0
United States Department of Labor v. Triplett,494 U.S. 715,3/27/90,1990,1990,0,0,upheld,Federal Coal Mine Helath and Safety Act of 1969,83 Stat. 792,91-173,12/30/69,243,91,1,,0,0,1,1,1,0,1,0,1
United States v. Munoz-Flores,495 U.S. 385,5/21/90,1990,1990,0,0,upheld,Comprehensive Crime Control Act of 1984,98 Stat. 2170,98-473,10/12/84,67,98,6,,0,0,1,1,1,0,1,0,1
Board of Education of Westside Community School v. Mergens,496 U.S. 226,6/4/90,1990,1990,0,0,upheld,Education for Economic Security Act,98 Stat. 1302,98-377,8/11/84,70,98,2,,0,0,1,1,0,0,0,1,1
United States v. Eichman,496 U.S. 310,6/11/90,1990,1990,2,1,struck down on face,Flag Protection Act of 1989,103 Stat. 777,101-131,10/28/89,8,101,2,,0,0,1,0,0,1,1,4,1
Perpich v. Department of Defense,496 U.S. 334,6/11/90,1990,1990,0,0,upheld,National Defense Authorization Act for Fiscal Year 1987,100 Stat. 3871,99-661,11/14/86,43,99,5,,0,0,1,1,0,0,1,0,1
Office of Personnel Management v. Richmond,496 U.S. 414,6/11/90,1990,1990,0,0,upheld,80 Stat. 584,80 Stat. 584,89-554,9/6/66,285,89,6,,0,0,1,1,1,0,1,2,1
Sullivan v. Stroop,496 U.S. 478,6/14/90,1990,1990,0,0,upheld,Deficit Reduction Act of 1984,98 Stat. 1145,98-369,7/18/84,71,98,3,,0,0,1,1,1,0,1,4,1
"Metro Broadcasting, Inc. v. Federal Communications Commission",497 U.S. 547,6/27/90,1990,1990,0,0,upheld,101 Stat. 1329,101 Stat. 1329,100-202,12/22/87,30,100,3,,0,0,1,1,1,0,1,4,1
Touby v. United States,500 U.S. 160,5/20/91,1991,1990,0,0,upheld,Comprehensive Crime Control Act of 1984,98 Stat. 2071,98-473,10/12/84,79,98,6,,0,0,1,1,0,0,1,0,1
